nombre,region,presupuesto_total,gasto_educacion,gasto_salud,gasto_infraestructura,m2_areas_verdes,m2_plazas,numero_parques,matricula_total,promedio_simce_matematica,promedio_simce_lenguaje,observaciones_contraloria,anno
Picornell,Los Ríos,119585640000,39463261200,35875692000,13154420400,171575,30884,4,3704,244,244,0,2023
Reum,Los Ríos,902169400000,351846066000,261629126000,144347104000,304259,51724,7,21255,241,249,0,2023
Puerto Montt,Los Lagos,313390070000,106552623800,81481418200,34472907700,156248,25000,3,6481,216,228,0,2023
Puerto Varas,Los Lagos,701399070000,203405730300,175349767500,98195869800,66011,9242,1,19359,220,224,0,2023
Frutillar,Los Lagos,736311240000,287161383600,161988472800,110446686000,406582,40658,9,21979,244,248,0,2023
Llanquihue,Los Lagos,221429730000,86357594700,70857513600,35428756800,219892,35183,4,6996,229,244,0,2023
Osorno,Los Lagos,101905650000,32609808000,23438299500,13247734500,78745,11812,1,2941,261,276,0,2023
San Pablo,Los Lagos,62508150000,21252771000,19377526500,10001304000,300611,51104,6,1471,247,243,0,2023
Calbuco,Los Lagos,329834110000,122038620700,105546915200,59370139800,123405,19745,2,11374,239,250,0,2023
Cochamó,Los Lagos,170585300000,52881443000,51175590000,22176089000,386564,50253,8,7141,243,240,0,2023
Fresia,Los Lagos,307907670000,89293224300,101609531100,55423380600,459184,68878,8,16158,246,253,0,2023
Los Muermos,Los Lagos,532455680000,159736704000,122464806400,47921011200,256557,43615,6,20113,249,245,0,2023
Maullín,Los Lagos,99967660000,33989004400,25991591600,9996766000,249007,44821,5,3056,258,253,0,2023
Quinchao,Los Lagos,146152060000,49691700400,36538015000,13153685400,72221,7222,2,4288,235,239,0,2023
Castro,Los Lagos,758561700000,219982893000,242739744000,75856170000,166048,16605,4,29278,226,221,0,2023
Ancud,Los Lagos,173584160000,65961980800,50339406400,15622574400,368885,40577,7,4617,217,226,0,2023
Quemchi,Los Lagos,243278430000,94878587700,82714666200,31626195900,74667,7467,2,5882,244,248,0,2023
Dalcahue,Los Lagos,179204010000,60929363400,44801002500,25088561400,479252,43133,9,6453,236,242,0,2023
Curaco de Vélez,Los Lagos,250563750000,90202950000,62640937500,27562012500,344814,51722,6,10691,217,230,0,2023
Puerto Octay,Los Lagos,480896910000,158695980300,105797320200,52898660100,293241,35189,5,18452,215,227,0,2023
Purranque,Los Lagos,161376280000,54867935200,43571595600,12910102400,321301,25704,7,5092,224,225,0,2023
Río Negro,Los Lagos,909800340000,300234112200,282038105400,127372047600,332126,49819,6,26030,232,231,0,2023
San Juan de la Costa,Los Lagos,324112730000,113439455500,71304800600,51858036800,364593,61981,6,8728,234,230,0,2023
Entre Lagos,Los Lagos,485959110000,145787733000,126349368600,72893866500,242717,36408,5,11883,237,242,0,2023
Puyehue,Los Lagos,240379800000,76921536000,79325334000,33653172000,251527,35214,4,5398,240,251,0,2023
Coyhaique,Aysén,945705880000,321539999200,293168822800,85113529200,238448,38152,5,23436,225,233,0,2023
Aysén,Aysén,272602000000,87232640000,70876520000,29986220000,483109,82129,9,7435,226,231,0,2023
Chile Chico,Aysén,392122000000,113715380000,133321480000,58818300000,440631,66095,10,10926,235,248,0,2023
Río Ibáñez,Aysén,539858000000,183551720000,161957400000,80978700000,84608,15229,2,15950,231,246,0,2023
Lago Verde,Aysén,145999230000,43799769000,33579822900,20439892200,147118,25010,3,5876,224,226,0,2023
Guaitecas,Aysén,124614260000,39876563200,42368848400,18692139000,388862,66107,6,5777,263,273,0,2023
Cisnes,Aysén,72468640000,22465278400,16667787200,9420923200,447351,58156,9,1615,233,228,0,2023
Mañihuales,Aysén,332573820000,129703789800,89794931400,56537549400,212612,21261,4,19915,231,233,0,2023
Cochrane,Aysén,679931340000,271972536000,231176655600,74792447400,402505,36225,9,13620,249,256,0,2023
Tortel,Aysén,243675600000,90159972000,70665924000,34114584000,353721,31835,6,12764,262,259,0,2023
Punta Arenas,Magallanes,99820240000,38929893600,26951464800,10980226400,488224,68351,9,2435,251,266,0,2023
Puerto Natales,Magallanes,182152000000,74682320000,49181040000,16393680000,358014,53702,7,6831,222,237,0,2023
Porvenir,Magallanes,486992850000,155837712000,165577569000,73048927500,56676,5668,1,13125,241,246,0,2023
Primavera,Magallanes,60199380000,19263801600,17457820200,7825919400,163940,22952,3,2533,263,277,0,2023
Timaukel,Magallanes,680635280000,231415995200,197384231200,95288939200,428994,34320,7,15167,258,256,0,2023
Cabo de Hornos,Magallanes,922459350000,359759146500,276737805000,156818089500,349710,59451,8,15199,248,251,0,2023
Antártica,Magallanes,244342980000,70859464200,80633183400,36651447000,177985,23138,3,4933,237,248,0,2023
San Gregorio,Magallanes,332573820000,129703789800,89794931400,56537549400,212612,21261,4,19915,231,233,0,2023
Río Verde,Magallanes,569501210000,165155350900,193630411400,91120193600,145389,14539,2,15555,216,223,0,2023
Laguna Blanca,Magallanes,1001517760000,390591926400,300455328000,170258019200,162355,14612,3,20262,256,254,0,2023
